Date,06614800,06746095,07083000,07105945,09034900,09035800,09035900,09047700,09065500,09066000,09066200,09066300,09081600,09107000,09306242,09352900,WY
1998-06-01,1.0999677082058243,,,,,,,,,,,,,,,,1998
1998-09-01,0.010101566106578598,,,,,,,,,,,,,,,,1998
1998-12-01,0.3268418268307863,,,,,,,,,,,,,,,,1999
1999-03-01,-0.34710366532147613,,,,,,,,,,,,,,,,1999
1999-06-01,-0.009014818538031153,,,,,,,,,,,,,,,,1999
1999-09-01,-0.9478054856341034,,,,,,,,,,,,,,,,1999
1999-12-01,0.7462443469959905,,,,,,,,,,,,,,,,2000
2000-03-01,0.33042144485169583,,,,,,,,,,,,,,,,2000
2000-06-01,-0.2448526437662391,,,,,,,,,,,,,,,,2000
2000-09-01,-0.3210542827056093,,,,,,,,,,,,,,,,2000
2000-12-01,-0.48302863391436474,,,,,,,,,,,,,,,,2001
2001-03-01,-0.4575727105342491,,,,,,,,,,,,,,,,2001
2001-06-01,-0.6460190118830418,,,,,,,,,,,,,,,,2001
2001-09-01,-0.26691019224218243,,,,,,,,,,,,,,,,2001
2001-12-01,-0.5810341218580072,,,,,,,,,,,,,,,,2002
2002-03-01,-0.8216189883964864,,,,,,,,,,,,,,,,2002
2002-06-01,-0.6576933637383374,,,,,,,,,,,,,,,,2002
2002-09-01,-0.11328502607037526,,,,,,,,,,,,,,,,2002
2002-12-01,0.008096656679404882,,,,,,,,,,,,,,,,2003
2003-03-01,1.2512115071612713,,,,,,,,,,,,,,,,2003
2003-06-01,0.44745989763086214,,,,,,,,,,,,,,,,2003
2003-09-01,-0.5000312555295325,,,,,,,,,,,,,,,,2003
2003-12-01,-0.8481708692703984,,,,,,,,,,,,,,,,2004
2004-03-01,-0.6636192207386893,,,,,,,,,,,,,,,,2004
2004-06-01,0.09329039638051882,,,,,,,,,,,,,,,,2004
2004-09-01,-0.02097125341568551,,,,,,,,,,,,,,,,2004
2004-12-01,-0.7978066113152126,,,,,,,,,,,,,,,,2005
2005-03-01,-0.17338219728886176,,,,,,,,,,,,,,,,2005
2005-06-01,-0.013534668920316444,,,,,,,,,,,,,,,,2005
2005-09-01,-0.01403338749117326,,,,,,,,,,,,,,,,2005
2005-12-01,-0.03105529551762625,,,,,,,,,,,,,,,,2006
2006-03-01,-0.8481536695779193,,,,,,,,,,,,,,,,2006
2006-06-01,0.5702525572437799,,,,,,,,,,,,,,,,2006
2006-09-01,0.43308362442505827,,,,,,,,,,,,,,,,2006
2006-12-01,-0.28380853624308866,,,,,,,,,,,,,,,,2007
2007-03-01,-0.7071812668291726,,,,,,,,,,,,,,,,2007
2007-06-01,-0.1948864494153413,,,,,,,,,,,,,,,,2007
2007-09-01,0.4290353830040242,,,,,,,,,,,,,,,,2007
2007-12-01,0.6032300422724666,,,,,,,,,,,,,,,,2008
2008-03-01,0.011031121459677846,,,,,,,,,,,,,,,,2008
2008-06-01,-0.32562069687172135,,,,,,,,,,,,,,,,2008
2008-09-01,-0.05691940900901445,,,,,,,,,,,,,,,,2008
2008-12-01,0.2064201369350347,,,,,,,,,,,,,,,,2009
2009-03-01,-0.14182352536543322,,,,,,,,,,,,,,,,2009
2009-06-01,0.10457039917630394,,,,,,,,,,,,,,,,2009
2009-09-01,-0.37528825405950333,,,,,,,,,,,,,,,,2009
2009-12-01,-0.48560021881795323,,,,,,,,,,,,,,,,2010
2010-03-01,0.05099062331923844,,,,,,,,,,,,,,,,2010
2010-06-01,-0.10438891641193253,,,,,,,,,,,,,,,,2010
2010-09-01,0.7893193182893287,,,,,,,,,,,,,,,,2010
2010-12-01,0.5830144610634315,,,,,,,,,,,,,,,,2011
2011-03-01,1.6856308784779648,,,,,,,,,,,,,,,,2011
2011-06-01,0.15750592101163513,,,,,,,,,,,,,,,,2011
2011-09-01,0.11501893728272759,,,,,,,,,,,,,,,,2011
2011-12-01,-0.6338298063566865,,,,,,,,,,,,,,,,2012
2012-03-01,-1.406113863421456,,,,,,,,,,,,,,,,2012
2012-06-01,-0.09125893127302634,,,,,,,,,,,,,,,,2012
2012-09-01,-0.437982648252853,,,,,,,,,,,,,,,,2012
2012-12-01,-0.2286011812818914,,,,,,,,,,,,,,,,2013
2013-03-01,0.25174212471298935,,,,,,,,,,,,,,,,2013
2013-06-01,-0.5760669844912156,,,,,,,,,,,,,,,,2013
2013-09-01,0.8569581644077624,,,,,,,,,,,,,,,,2013
2013-12-01,0.9152836223194584,,,,,,,,,,,,,,,,2014
2014-03-01,0.4212898792761894,,,,,,,,,,,,,,,,2014
2014-06-01,0.5164595151410925,,,,,,,,,,,,,,,,2014
2014-09-01,0.7866051751724984,,,,,,,,,,,,,,,,2014
2014-12-01,-0.2276159524236194,,,,,,,,,,,,,,,,2015
2015-03-01,-0.21485963064019753,,,,,,,,,,,,,,,,2015
2015-06-01,-0.2635153677091136,,,,,,,,,,,,,,,,2015
2015-09-01,-0.2666908618539987,,,,,,,,,,,,,,,,2015
2015-12-01,-0.2634685419072715,,,,,,,,,,,,,,,,2016
2016-03-01,0.5517382453573777,,,,,,,,,,,,,,,,2016
2016-06-01,-0.749742225513889,,,,,,,,,,,,,,,,2016
2016-09-01,-0.7054444826986211,,,,,,,,,,,,,,,,2016
2016-12-01,1.1856095339366,,,,,,,,,,,,,,,,2017
2017-03-01,-0.3250330126742897,,,,,,,,,,,,,,,,2017
2017-06-01,-0.4108709657881805,,,,,,,,,,,,,,,,2017
2017-09-01,0.38711656392938465,,,,,,,,,,,,,,,,2017
2017-12-01,0.10801214998977224,,,,,,,,,,,,,,,,2018
2018-03-01,-0.015819890822352627,,,,,,,,,,,,,,,,2018
2018-06-01,-0.33096285057291475,,,,,,,,,,,,,,,,2018
2018-09-01,0.16757718132389735,,,,,,,,,,,,,,,,2018
2018-12-01,-0.2377719961894218,,,,,,,,,,,,,,,,2019
2019-03-01,0.29276417080267525,,,,,,,,,,,,,,,,2019
2019-06-01,0.2323337073996673,,,,,,,,,,,,,,,,2019
2019-09-01,-0.47151148487272765,,,,,,,,,,,,,,,,2019
2019-12-01,0.76252298488195,,,,,,,,,,,,,,,,2020
2020-03-01,-0.4977772144267378,,,,,,,,,,,,,,,,2020
2020-06-01,-0.6326640305671998,,,,,,,,,,,,,,,,2020
2020-09-01,-0.8297918994176082,,,,,,,,,,,,,,,,2020
2020-12-01,0.024654057844652556,,,,,,,,,,,,,,,,2021
2021-03-01,-0.2597219931510647,,,,,,,,,,,,,,,,2021
2021-06-01,-0.40272641986226815,,,,,,,,,,,,,,,,2021
2021-09-01,-0.043113344568468256,,,,,,,,,,,,,,,,2021
2021-12-01,0.255925634888866,,,,,,,,,,,,,,,,2022
2022-03-01,0.25495923982415614,,,,,,,,,,,,,,,,2022
2022-06-01,-0.18390429431625768,,,,,,,,,,,,,,,,2022
2022-09-01,-0.4338088408707999,,,,,,,,,,,,,,,,2022
1978-09-01,,-1.8640564580766619,,,,,,,,,,,,,,,1978
1978-12-01,,0.2184666625427375,,,,,,,,,,,,,,,1979
1979-03-01,,-0.09467426160736857,,,,,,,,,,,,,,,1979
1979-06-01,,3.759001294414882,,,,,,,,,,,,,,,1979
1979-09-01,,-0.48343765172385617,,,,,,,,,,,,,,,1979
1979-12-01,,0.3521713389341536,,,,,,,,,,,,,,,1980
1980-03-01,,-0.06271346307506354,,,,,,,,,,,,,,,1980
1980-06-01,,-0.7182121471803548,,,,,,,,,,,,,,,1980
