,ET,P
East River Mean,336.9240946346593,728.6647494069442
East River Std,25.49797365078575,159.5457442421742
Taylor River Mean,342.28146539025107,645.0082287109539
Taylor River Std,21.950717343948845,127.93248896287379
Upper East (2950-3200) Mean,366.3456221915323,784.9407569084791
Upper East (2950-3200) Std,32.84835041436803,784.9407569084791
